rep,t,pop1,pop2,pop3,k1,k2,k3
1,1,0,0,1000,-1.00,-1.00,0.63
1,2,0,0,1000,-1.00,-1.00,1.25
1,3,0,0,1000,-1.00,-1.00,1.80
1,4,0,0,1000,-1.00,-1.00,2.38
1,5,0,0,1000,-1.00,-1.00,2.79
1,6,0,0,1000,-1.00,-1.00,3.37
1,7,0,0,1000,-1.00,-1.00,3.92
1,8,0,0,1000,-1.00,-1.00,4.29
1,9,0,0,1000,-1.00,-1.00,4.76
1,10,0,0,1000,-1.00,-1.00,5.15
1,11,0,0,1000,-1.00,-1.00,5.51
1,12,0,0,1000,-1.00,-1.00,5.80
1,13,0,0,1000,-1.00,-1.00,6.08
1,14,0,0,1000,-1.00,-1.00,6.43
1,15,0,0,1000,-1.00,-1.00,6.77
1,16,0,0,1000,-1.00,-1.00,7.04
1,17,0,0,1000,-1.00,-1.00,7.15
1,18,0,0,1000,-1.00,-1.00,7.50
1,19,0,0,1000,-1.00,-1.00,7.74
1,20,0,0,1000,-1.00,-1.00,7.86
1,21,0,0,1000,-1.00,-1.00,8.14
1,22,0,0,1000,-1.00,-1.00,8.28
1,23,0,0,1000,-1.00,-1.00,8.32
1,24,0,0,1000,-1.00,-1.00,8.52
1,25,0,0,1000,-1.00,-1.00,8.60
1,26,0,0,1000,-1.00,-1.00,8.80
1,27,0,0,1000,-1.00,-1.00,8.82
1,28,0,0,1000,-1.00,-1.00,9.08
1,29,0,0,1000,-1.00,-1.00,9.19
1,30,0,0,1000,-1.00,-1.00,9.37
1,31,0,0,1000,-1.00,-1.00,9.47
1,32,0,0,1000,-1.00,-1.00,9.66
1,33,0,0,1000,-1.00,-1.00,9.78
1,34,0,0,1000,-1.00,-1.00,9.96
1,35,0,0,1000,-1.00,-1.00,10.08
1,36,0,0,1000,-1.00,-1.00,10.26
1,37,0,0,1000,-1.00,-1.00,10.36
1,38,0,0,1000,-1.00,-1.00,10.43
1,39,0,0,1000,-1.00,-1.00,10.69
1,40,0,0,1000,-1.00,-1.00,10.56
1,41,0,0,1000,-1.00,-1.00,10.71
1,42,0,0,1000,-1.00,-1.00,10.74
1,43,0,0,1000,-1.00,-1.00,10.71
1,44,0,0,1000,-1.00,-1.00,10.69
1,45,0,0,1000,-1.00,-1.00,10.76
1,46,0,0,1000,-1.00,-1.00,10.61
1,47,0,0,1000,-1.00,-1.00,10.84
1,48,0,0,1000,-1.00,-1.00,10.89
1,49,0,0,1000,-1.00,-1.00,10.99
1,50,0,0,1000,-1.00,-1.00,11.25
1,51,0,0,1000,-1.00,-1.00,11.19
1,52,0,0,1000,-1.00,-1.00,11.25
1,53,0,0,1000,-1.00,-1.00,11.37
1,54,0,0,1000,-1.00,-1.00,11.56
1,55,0,0,1000,-1.00,-1.00,11.68
1,56,0,0,1000,-1.00,-1.00,11.60
1,57,0,0,1000,-1.00,-1.00,11.62
1,58,0,0,1000,-1.00,-1.00,11.77
1,59,0,0,1000,-1.00,-1.00,11.81
1,60,0,0,1000,-1.00,-1.00,11.77
1,61,0,0,1000,-1.00,-1.00,11.88
1,62,0,0,1000,-1.00,-1.00,12.00
1,63,0,0,1000,-1.00,-1.00,12.18
1,64,0,0,1000,-1.00,-1.00,12.17
1,65,0,0,1000,-1.00,-1.00,12.20
1,66,0,0,1000,-1.00,-1.00,12.35
1,67,0,0,1000,-1.00,-1.00,12.36
1,68,0,0,1000,-1.00,-1.00,12.49
1,69,0,0,1000,-1.00,-1.00,12.60
1,70,0,0,1000,-1.00,-1.00,12.83
1,71,0,0,1000,-1.00,-1.00,12.81
1,72,0,0,1000,-1.00,-1.00,12.89
1,73,0,0,1000,-1.00,-1.00,13.04
1,74,0,0,1000,-1.00,-1.00,13.30
1,75,0,0,1000,-1.00,-1.00,13.65
1,76,0,0,1000,-1.00,-1.00,13.82
1,77,0,0,1000,-1.00,-1.00,14.00
1,78,0,0,1000,-1.00,-1.00,14.01
1,79,0,0,1000,-1.00,-1.00,13.90
1,80,0,0,1000,-1.00,-1.00,13.82
1,81,0,0,1000,-1.00,-1.00,13.98
1,82,0,0,1000,-1.00,-1.00,14.14
1,83,0,0,1000,-1.00,-1.00,14.48
1,84,0,0,1000,-1.00,-1.00,14.73
1,85,0,0,1000,-1.00,-1.00,14.95
1,86,0,0,1000,-1.00,-1.00,15.05
1,87,0,0,1000,-1.00,-1.00,15.14
1,88,0,0,1000,-1.00,-1.00,15.28
1,89,0,0,1000,-1.00,-1.00,15.48
1,90,0,0,1000,-1.00,-1.00,15.75
1,91,0,0,1000,-1.00,-1.00,15.99
1,92,0,0,1000,-1.00,-1.00,16.03
1,93,0,0,1000,-1.00,-1.00,16.43
1,94,0,0,1000,-1.00,-1.00,16.44
1,95,0,0,1000,-1.00,-1.00,16.62
1,96,0,0,1000,-1.00,-1.00,16.73
1,97,0,0,1000,-1.00,-1.00,16.69
1,98,0,0,1000,-1.00,-1.00,16.81
1,99,0,0,1000,-1.00,-1.00,16.73
1,100,0,0,1000,-1.00,-1.00,16.84
1,101,0,0,1000,-1.00,-1.00,16.74
1,102,0,0,1000,-1.00,-1.00,16.78
