rep,t,pop1,pop2,pop3,k1,k2,k3
1,1,0,0,1000,-1.00,-1.00,0.16
1,2,0,0,1000,-1.00,-1.00,0.29
1,3,0,0,1000,-1.00,-1.00,0.41
1,4,0,0,1000,-1.00,-1.00,0.48
1,5,0,0,1000,-1.00,-1.00,0.61
1,6,0,0,1000,-1.00,-1.00,0.70
1,7,0,0,1000,-1.00,-1.00,0.78
1,8,0,0,1000,-1.00,-1.00,0.87
1,9,0,0,1000,-1.00,-1.00,1.00
1,10,0,0,1000,-1.00,-1.00,1.15
1,11,0,0,1000,-1.00,-1.00,1.23
1,12,0,0,1000,-1.00,-1.00,1.22
1,13,0,0,1000,-1.00,-1.00,1.35
1,14,0,0,1000,-1.00,-1.00,1.47
1,15,0,0,1000,-1.00,-1.00,1.49
1,16,0,0,1000,-1.00,-1.00,1.55
1,17,0,0,1000,-1.00,-1.00,1.58
1,18,0,0,1000,-1.00,-1.00,1.60
1,19,0,0,1000,-1.00,-1.00,1.66
1,20,0,0,1000,-1.00,-1.00,1.76
1,21,0,0,1000,-1.00,-1.00,1.77
1,22,0,0,1000,-1.00,-1.00,1.83
1,23,0,0,1000,-1.00,-1.00,1.87
1,24,0,0,1000,-1.00,-1.00,1.90
1,25,0,0,1000,-1.00,-1.00,1.81
1,26,0,0,1000,-1.00,-1.00,1.92
1,27,0,0,1000,-1.00,-1.00,2.01
1,28,0,0,1000,-1.00,-1.00,2.12
1,29,0,0,1000,-1.00,-1.00,2.12
1,30,0,0,1000,-1.00,-1.00,2.08
1,31,0,0,1000,-1.00,-1.00,2.12
1,32,0,0,1000,-1.00,-1.00,2.14
1,33,0,0,1000,-1.00,-1.00,2.19
1,34,0,0,1000,-1.00,-1.00,2.21
1,35,0,0,1000,-1.00,-1.00,2.27
1,36,0,0,1000,-1.00,-1.00,2.34
1,37,0,0,1000,-1.00,-1.00,2.34
1,38,0,0,1000,-1.00,-1.00,2.30
1,39,0,0,1000,-1.00,-1.00,2.31
1,40,0,0,1000,-1.00,-1.00,2.35
1,41,0,0,1000,-1.00,-1.00,2.33
1,42,0,0,1000,-1.00,-1.00,2.29
1,43,0,0,1000,-1.00,-1.00,2.31
1,44,0,0,1000,-1.00,-1.00,2.33
1,45,0,0,1000,-1.00,-1.00,2.31
1,46,0,0,1000,-1.00,-1.00,2.33
1,47,0,0,1000,-1.00,-1.00,2.40
1,48,0,0,1000,-1.00,-1.00,2.43
1,49,0,0,1000,-1.00,-1.00,2.49
1,50,0,0,1000,-1.00,-1.00,2.52
1,51,0,0,1000,-1.00,-1.00,2.60
1,52,0,0,1000,-1.00,-1.00,2.61
1,53,0,0,1000,-1.00,-1.00,2.61
1,54,0,0,1000,-1.00,-1.00,2.71
1,55,0,0,1000,-1.00,-1.00,2.66
1,56,0,0,1000,-1.00,-1.00,2.75
1,57,0,0,1000,-1.00,-1.00,2.72
1,58,0,0,1000,-1.00,-1.00,2.72
1,59,0,0,1000,-1.00,-1.00,2.71
1,60,0,0,1000,-1.00,-1.00,2.75
1,61,0,0,1000,-1.00,-1.00,2.72
1,62,0,0,1000,-1.00,-1.00,2.73
1,63,0,0,1000,-1.00,-1.00,2.78
1,64,0,0,1000,-1.00,-1.00,2.75
1,65,0,0,1000,-1.00,-1.00,2.70
1,66,0,0,1000,-1.00,-1.00,2.70
1,67,0,0,1000,-1.00,-1.00,2.80
1,68,0,0,1000,-1.00,-1.00,2.77
1,69,0,0,1000,-1.00,-1.00,2.80
1,70,0,0,1000,-1.00,-1.00,2.87
1,71,0,0,1000,-1.00,-1.00,2.77
1,72,0,0,1000,-1.00,-1.00,2.79
1,73,0,0,1000,-1.00,-1.00,2.89
1,74,0,0,1000,-1.00,-1.00,3.01
1,75,0,0,1000,-1.00,-1.00,3.07
1,76,0,0,1000,-1.00,-1.00,3.13
1,77,0,0,1000,-1.00,-1.00,3.07
1,78,0,0,1000,-1.00,-1.00,2.96
1,79,0,0,1000,-1.00,-1.00,3.03
1,80,0,0,1000,-1.00,-1.00,3.13
1,81,0,0,1000,-1.00,-1.00,3.13
1,82,0,0,1000,-1.00,-1.00,3.12
1,83,0,0,1000,-1.00,-1.00,3.08
1,84,0,0,1000,-1.00,-1.00,3.00
1,85,0,0,1000,-1.00,-1.00,2.99
1,86,0,0,1000,-1.00,-1.00,2.97
1,87,0,0,1000,-1.00,-1.00,2.91
1,88,0,0,1000,-1.00,-1.00,2.97
1,89,0,0,1000,-1.00,-1.00,2.89
1,90,0,0,1000,-1.00,-1.00,2.97
1,91,0,0,1000,-1.00,-1.00,2.92
1,92,0,0,1000,-1.00,-1.00,2.89
1,93,0,0,1000,-1.00,-1.00,2.91
1,94,0,0,1000,-1.00,-1.00,2.95
1,95,0,0,1000,-1.00,-1.00,2.90
1,96,0,0,1000,-1.00,-1.00,2.90
1,97,0,0,1000,-1.00,-1.00,2.84
1,98,0,0,1000,-1.00,-1.00,2.78
1,99,0,0,1000,-1.00,-1.00,2.81
1,100,0,0,1000,-1.00,-1.00,2.82
1,101,0,0,1000,-1.00,-1.00,2.88
1,102,0,0,1000,-1.00,-1.00,2.85
1,103,0,0,1000,-1.00,-1.00,2.77
1,104,0,0,1000,-1.00,-1.00,2.78
1,105,0,0,1000,-1.00,-1.00,2.85
1,106,0,0,1000,-1.00,-1.00,2.84
1,107,0,0,1000,-1.00,-1.00,3.01
1,108,0,0,1000,-1.00,-1.00,2.97
1,109,0,0,1000,-1.00,-1.00,2.90
1,110,0,0,1000,-1.00,-1.00,2.97
1,111,0,0,1000,-1.00,-1.00,2.97
1,112,0,0,1000,-1.00,-1.00,2.98
1,113,0,0,1000,-1.00,-1.00,2.97
1,114,0,0,1000,-1.00,-1.00,3.04
1,115,0,0,1000,-1.00,-1.00,3.08
1,116,0,0,1000,-1.00,-1.00,3.06
1,117,0,0,1000,-1.00,-1.00,3.10
1,118,0,0,1000,-1.00,-1.00,3.06
1,119,0,0,1000,-1.00,-1.00,2.99
1,120,0,0,1000,-1.00,-1.00,3.03
1,121,0,0,1000,-1.00,-1.00,2.96
1,122,0,0,1000,-1.00,-1.00,2.97
1,123,0,0,1000,-1.00,-1.00,2.99
1,124,0,0,1000,-1.00,-1.00,2.92
1,125,0,0,1000,-1.00,-1.00,2.90
1,126,0,0,1000,-1.00,-1.00,2.94
1,127,0,0,1000,-1.00,-1.00,2.73
1,128,0,0,1000,-1.00,-1.00,2.76
1,129,0,0,1000,-1.00,-1.00,2.71
1,130,0,0,1000,-1.00,-1.00,2.72
1,131,0,0,1000,-1.00,-1.00,2.60
1,132,0,0,1000,-1.00,-1.00,2.60
1,133,0,0,1000,-1.00,-1.00,2.58
1,134,0,0,1000,-1.00,-1.00,2.59
1,135,0,0,1000,-1.00,-1.00,2.60
1,136,0,0,1000,-1.00,-1.00,2.57
1,137,0,0,1000,-1.00,-1.00,2.58
1,138,0,0,1000,-1.00,-1.00,2.63
1,139,0,0,1000,-1.00,-1.00,2.72
1,140,0,0,1000,-1.00,-1.00,2.67
1,141,0,0,1000,-1.00,-1.00,2.63
1,142,0,0,1000,-1.00,-1.00,2.69
1,143,0,0,1000,-1.00,-1.00,2.75
1,144,0,0,1000,-1.00,-1.00,2.77
1,145,0,0,1000,-1.00,-1.00,2.81
1,146,0,0,1000,-1.00,-1.00,2.85
1,147,0,0,1000,-1.00,-1.00,2.83
1,148,0,0,1000,-1.00,-1.00,2.90
1,149,0,0,1000,-1.00,-1.00,3.03
1,150,0,0,1000,-1.00,-1.00,3.06
1,151,0,0,1000,-1.00,-1.00,3.14
1,152,0,0,1000,-1.00,-1.00,3.09
1,153,0,0,1000,-1.00,-1.00,3.07
1,154,0,0,1000,-1.00,-1.00,3.07
1,155,0,0,1000,-1.00,-1.00,3.05
1,156,0,0,1000,-1.00,-1.00,3.08
1,157,0,0,1000,-1.00,-1.00,2.99
1,158,0,0,1000,-1.00,-1.00,2.94
1,159,0,0,1000,-1.00,-1.00,2.86
1,160,0,0,1000,-1.00,-1.00,2.86
1,161,0,0,1000,-1.00,-1.00,2.84
1,162,0,0,1000,-1.00,-1.00,2.81
1,163,0,0,1000,-1.00,-1.00,2.73
1,164,0,0,1000,-1.00,-1.00,2.73
1,165,0,0,1000,-1.00,-1.00,2.63
1,166,0,0,1000,-1.00,-1.00,2.69
1,167,0,0,1000,-1.00,-1.00,2.80
