pop1,pop2,k1,k2
0,0,-1.00,-1.00
0,960,-1.00,12.33
0,683,-1.00,12.59
0,734,-1.00,10.90
0,800,-1.00,11.35
0,696,-1.00,9.49
0,1248,-1.00,9.30
102,0,17.33,-1.00
0,901,-1.00,11.47
0,993,-1.00,12.64
0,898,-1.00,10.74
0,883,-1.00,14.14
0,690,-1.00,11.42
0,776,-1.00,9.88
0,788,-1.00,12.90
0,881,-1.00,11.47
0,607,-1.00,10.65
0,626,-1.00,10.90
527,0,14.12,-1.00
0,688,-1.00,11.88
0,1003,-1.00,9.54
0,855,-1.00,11.60
0,569,-1.00,11.81
0,719,-1.00,13.48
0,868,-1.00,13.53
0,443,-1.00,13.42
0,684,-1.00,10.33
0,953,-1.00,10.82
0,563,-1.00,11.07
0,1180,-1.00,9.81
0,481,-1.00,13.53
0,163,-1.00,15.75
0,1104,-1.00,11.30
0,684,-1.00,9.99
0,796,-1.00,11.08
0,874,-1.00,11.29
0,831,-1.00,9.48
0,656,-1.00,11.97
873,0,12.59,-1.00
0,574,-1.00,10.20
135,0,15.65,-1.00
0,657,-1.00,8.79
0,959,-1.00,9.45
0,594,-1.00,12.50
0,0,-1.00,-1.00
0,586,-1.00,11.78
433,0,13.91,-1.00
0,594,-1.00,12.42
359,0,14.70,-1.00
0,558,-1.00,12.28
0,933,-1.00,10.02
749,0,13.31,-1.00
0,632,-1.00,8.94
0,866,-1.00,8.13
0,1113,-1.00,9.31
514,0,13.75,-1.00
0,561,-1.00,11.52
300,0,15.50,-1.00
358,0,14.54,-1.00
0,670,-1.00,10.76
0,598,-1.00,13.56
0,914,-1.00,13.44
0,848,-1.00,10.65
0,266,-1.00,14.06
0,1132,-1.00,10.22
0,802,-1.00,8.87
0,777,-1.00,10.45
0,50,-1.00,17.34
0,627,-1.00,13.84
0,689,-1.00,8.92
0,884,-1.00,9.43
0,636,-1.00,10.18
0,497,-1.00,14.19
0,734,-1.00,10.37
0,655,-1.00,10.65
0,658,-1.00,10.13
0,1031,-1.00,11.69
0,676,-1.00,10.11
0,654,-1.00,11.05
0,1137,-1.00,9.51
0,1010,-1.00,11.41
0,548,-1.00,13.64
0,781,-1.00,11.79
0,925,-1.00,10.99
0,547,-1.00,11.71
0,698,-1.00,10.23
562,0,13.14,-1.00
0,922,-1.00,10.39
0,1028,-1.00,9.31
0,980,-1.00,7.85
0,767,-1.00,10.95
0,751,-1.00,10.85
0,48,-1.00,16.48
0,758,-1.00,9.08
0,936,-1.00,9.54
0,1039,-1.00,11.15
803,0,11.87,-1.00
0,610,-1.00,12.35
0,973,-1.00,10.19
0,720,-1.00,10.79
