rep,pop1,pop2,k1,k2
1,0,611,-1.00,4.43
2,0,603,-1.00,4.33
3,0,592,-1.00,4.20
4,43,0,12.79,-1.00
5,0,496,-1.00,5.20
6,0,473,-1.00,5.29
7,0,364,-1.00,7.04
8,0,273,-1.00,8.37
9,0,466,-1.00,6.13
10,303,0,8.80,-1.00
11,0,449,-1.00,6.06
12,0,344,-1.00,8.08
13,0,0,-1.00,-1.00
14,0,0,-1.00,-1.00
15,0,0,-1.00,-1.00
16,0,0,-1.00,-1.00
17,0,0,-1.00,-1.00
18,0,0,-1.00,-1.00
19,0,0,-1.00,-1.00
20,0,0,-1.00,-1.00
21,0,0,-1.00,-1.00
22,0,0,-1.00,-1.00
23,0,0,-1.00,-1.00
24,0,0,-1.00,-1.00
25,0,0,-1.00,-1.00
26,0,0,-1.00,-1.00
27,0,0,-1.00,-1.00
28,0,0,-1.00,-1.00
29,0,0,-1.00,-1.00
30,0,0,-1.00,-1.00
31,0,0,-1.00,-1.00
32,0,0,-1.00,-1.00
33,0,0,-1.00,-1.00
34,0,0,-1.00,-1.00
35,0,0,-1.00,-1.00
36,0,0,-1.00,-1.00
37,0,0,-1.00,-1.00
38,0,0,-1.00,-1.00
39,0,0,-1.00,-1.00
40,0,0,-1.00,-1.00
41,0,0,-1.00,-1.00
42,0,0,-1.00,-1.00
43,0,0,-1.00,-1.00
44,0,0,-1.00,-1.00
45,0,0,-1.00,-1.00
46,0,0,-1.00,-1.00
47,0,0,-1.00,-1.00
48,0,0,-1.00,-1.00
49,0,0,-1.00,-1.00
50,0,0,-1.00,-1.00
51,0,0,-1.00,-1.00
52,0,0,-1.00,-1.00
53,0,0,-1.00,-1.00
54,0,0,-1.00,-1.00
55,0,0,-1.00,-1.00
56,0,0,-1.00,-1.00
57,0,0,-1.00,-1.00
58,0,0,-1.00,-1.00
59,0,0,-1.00,-1.00
60,0,0,-1.00,-1.00
61,0,0,-1.00,-1.00
62,0,0,-1.00,-1.00
63,0,0,-1.00,-1.00
64,0,0,-1.00,-1.00
65,0,0,-1.00,-1.00
66,0,0,-1.00,-1.00
67,0,0,-1.00,-1.00
68,0,0,-1.00,-1.00
69,0,0,-1.00,-1.00
70,0,0,-1.00,-1.00
71,0,0,-1.00,-1.00
72,0,0,-1.00,-1.00
73,0,0,-1.00,-1.00
74,0,0,-1.00,-1.00
75,0,0,-1.00,-1.00
76,0,0,-1.00,-1.00
77,0,0,-1.00,-1.00
78,0,0,-1.00,-1.00
79,0,0,-1.00,-1.00
80,0,0,-1.00,-1.00
81,0,0,-1.00,-1.00
82,0,0,-1.00,-1.00
83,0,0,-1.00,-1.00
84,0,0,-1.00,-1.00
85,0,0,-1.00,-1.00
86,0,0,-1.00,-1.00
87,0,0,-1.00,-1.00
88,0,0,-1.00,-1.00
89,0,0,-1.00,-1.00
90,0,0,-1.00,-1.00
91,0,0,-1.00,-1.00
92,0,0,-1.00,-1.00
93,0,0,-1.00,-1.00
94,0,0,-1.00,-1.00
95,0,0,-1.00,-1.00
96,0,0,-1.00,-1.00
97,0,0,-1.00,-1.00
98,0,0,-1.00,-1.00
99,0,0,-1.00,-1.00
100,0,0,-1.00,-1.00
