rep,t,pop1,pop2,k1,k2
0,1,988,0,0.15,-1.00
0,2,984,0,0.31,-1.00
0,3,1002,0,0.43,-1.00
0,4,961,0,0.60,-1.00
0,5,993,0,0.78,-1.00
0,6,919,0,0.91,-1.00
0,7,925,0,1.02,-1.00
0,8,917,0,1.13,-1.00
0,9,953,0,1.29,-1.00
0,10,817,0,1.40,-1.00
0,11,848,0,1.47,-1.00
0,12,862,0,1.53,-1.00
0,13,855,0,1.67,-1.00
0,14,840,0,1.85,-1.00
0,15,788,0,1.86,-1.00
0,16,814,0,1.88,-1.00
0,17,815,0,2.03,-1.00
0,18,802,0,2.06,-1.00
0,19,819,0,2.09,-1.00
0,20,829,0,2.10,-1.00
0,21,865,0,2.07,-1.00
0,22,807,0,2.18,-1.00
0,23,744,0,2.29,-1.00
0,24,703,0,2.35,-1.00
0,25,735,0,2.39,-1.00
0,26,768,0,2.38,-1.00
0,27,754,0,2.52,-1.00
0,28,731,0,2.49,-1.00
0,29,717,0,2.48,-1.00
0,30,729,0,2.49,-1.00
0,31,750,0,2.53,-1.00
0,32,742,0,2.61,-1.00
0,33,729,0,2.67,-1.00
0,34,738,0,2.72,-1.00
0,35,698,0,2.90,-1.00
0,36,668,0,3.03,-1.00
0,37,666,0,3.14,-1.00
0,38,654,0,3.26,-1.00
0,39,697,0,3.36,-1.00
0,40,707,0,3.40,-1.00
0,41,715,0,3.49,-1.00
0,42,705,0,3.56,-1.00
0,43,666,0,3.62,-1.00
0,44,639,0,3.59,-1.00
0,45,595,0,3.52,-1.00
0,46,645,0,3.40,-1.00
0,47,664,0,3.34,-1.00
0,48,697,0,3.39,-1.00
0,49,702,0,3.32,-1.00
0,50,692,0,3.32,-1.00
0,51,698,0,3.39,-1.00
0,52,716,0,3.36,-1.00
0,53,727,0,3.21,-1.00
0,54,703,0,3.25,-1.00
0,55,708,0,3.34,-1.00
0,56,695,0,3.32,-1.00
0,57,675,0,3.41,-1.00
0,58,715,0,3.53,-1.00
0,59,665,0,3.46,-1.00
0,60,642,0,3.38,-1.00
0,61,672,0,3.46,-1.00
0,62,641,0,3.46,-1.00
0,63,678,0,3.60,-1.00
0,64,670,0,3.53,-1.00
0,65,688,0,3.62,-1.00
0,66,643,0,3.64,-1.00
0,67,659,0,3.61,-1.00
0,68,653,0,3.55,-1.00
0,69,668,0,3.53,-1.00
0,70,664,0,3.53,-1.00
0,71,650,0,3.56,-1.00
0,72,680,0,3.63,-1.00
0,73,686,0,3.80,-1.00
0,74,716,0,3.90,-1.00
0,75,634,0,3.90,-1.00
0,76,632,0,3.99,-1.00
0,77,639,0,3.96,-1.00
0,78,599,0,3.98,-1.00
0,79,650,0,3.83,-1.00
0,80,670,0,3.93,-1.00
0,81,667,0,3.93,-1.00
0,82,636,0,4.02,-1.00
0,83,617,0,4.17,-1.00
0,84,629,0,4.13,-1.00
